timestamp,protocol,dyn_threshold,byte_count,exceed_count,exceed_duration,exceed_duration_count
2025-05-12 12:29:22,SYN,512000,865560,0,4,2
2025-05-12 12:29:23,ICMP,65456,0,0,0,0
2025-05-12 12:29:23,UDP,74666,3078,0,0,0
2025-05-12 12:29:23,SYN,512000,0,0,1,0
2025-05-12 12:29:24,ICMP,65456,0,0,0,0
2025-05-12 12:29:24,UDP,74666,3078,0,0,0
2025-05-12 12:29:24,SYN,512000,0,0,1,0
2025-05-12 12:29:25,ICMP,65129,294,0,0,0
2025-05-12 12:29:25,UDP,74666,3078,0,0,0
2025-05-12 12:29:25,SYN,509440,0,0,0,0
2025-05-12 12:29:26,ICMP,65129,882,0,0,0
2025-05-12 12:29:26,UDP,74666,3078,0,0,0
2025-05-12 12:29:26,SYN,509440,0,0,0,0
2025-05-12 12:29:27,ICMP,64808,490,0,0,0
2025-05-12 12:29:27,UDP,74666,3078,0,0,0
2025-05-12 12:29:27,SYN,509440,0,0,0,0
2025-05-12 12:29:28,ICMP,64808,882,0,0,0
2025-05-12 12:29:28,UDP,74666,3078,0,0,0
2025-05-12 12:29:28,SYN,506893,3774,0,0,0
2025-05-12 12:29:29,ICMP,64488,784,0,0,0
2025-05-12 12:29:29,UDP,74666,3078,0,0,0
2025-05-12 12:29:29,SYN,506893,3774,0,0,0
2025-05-12 12:29:30,ICMP,64488,882,0,0,0
2025-05-12 12:29:30,UDP,74666,3078,0,0,0
2025-05-12 12:29:30,SYN,504377,3700,0,0,0
2025-05-12 12:29:31,ICMP,64488,882,0,0,0
2025-05-12 12:29:31,UDP,74308,3078,0,0,0
2025-05-12 12:29:31,SYN,501874,7400,0,0,0
2025-05-12 12:29:32,ICMP,64488,882,0,0,0
2025-05-12 12:29:32,UDP,74308,3078,0,0,0
2025-05-12 12:29:32,SYN,499402,0,0,0,0
2025-05-12 12:29:33,ICMP,64488,882,0,0,0
2025-05-12 12:29:33,UDP,74308,3078,0,0,0
2025-05-12 12:29:33,SYN,499402,0,0,0,0
2025-05-12 12:29:34,ICMP,64488,882,0,0,0
2025-05-12 12:29:34,UDP,74308,3078,0,0,0
2025-05-12 12:29:34,SYN,496905,148,0,0,0
2025-05-12 12:29:35,ICMP,64488,882,0,0,0
2025-05-12 12:29:35,UDP,74308,3078,0,0,0
2025-05-12 12:29:35,SYN,494421,0,0,0,0
2025-05-12 12:29:36,ICMP,64488,882,0,0,0
2025-05-12 12:29:36,UDP,73952,3078,0,0,0
2025-05-12 12:29:36,SYN,494421,0,0,0,0
2025-05-12 12:29:37,ICMP,64170,490,0,0,0
2025-05-12 12:29:37,UDP,73952,3078,0,0,0
2025-05-12 12:29:37,SYN,491949,0,0,0,0
2025-05-12 12:29:38,ICMP,64170,882,0,0,0
2025-05-12 12:29:38,UDP,73952,3078,0,0,0
2025-05-12 12:29:38,SYN,489489,3774,0,0,0
2025-05-12 12:29:39,ICMP,64170,882,0,0,0
2025-05-12 12:29:39,UDP,73952,3078,0,0,0
2025-05-12 12:29:39,SYN,489489,3774,0,0,0
2025-05-12 12:29:40,ICMP,64170,882,0,0,0
2025-05-12 12:29:40,UDP,73952,3078,0,0,0
2025-05-12 12:29:40,SYN,487060,3922,0,0,0
2025-05-12 12:29:41,ICMP,64170,882,0,0,0
2025-05-12 12:29:41,UDP,73952,3078,0,0,0
2025-05-12 12:29:41,SYN,484644,7400,0,0,0
2025-05-12 12:29:42,ICMP,64170,882,0,0,0
2025-05-12 12:29:42,UDP,73598,3078,0,0,0
2025-05-12 12:29:42,SYN,484644,7400,0,0,0
2025-05-12 12:29:43,ICMP,63854,490,0,0,0
2025-05-12 12:29:43,UDP,73598,3078,0,0,0
2025-05-12 12:29:43,SYN,482258,0,0,0,0
2025-05-12 12:29:44,ICMP,63854,882,0,0,0
2025-05-12 12:29:44,UDP,73247,420,0,0,0
2025-05-12 12:29:44,SYN,479847,0,0,0,0
2025-05-12 12:29:45,ICMP,63854,882,0,0,0
2025-05-12 12:29:45,UDP,72884,235,0,0,0
2025-05-12 12:29:45,SYN,479847,74,0,0,0
2025-05-12 12:29:46,ICMP,63854,882,0,0,0
2025-05-12 12:29:46,UDP,72884,3475,0,0,0
2025-05-12 12:29:46,SYN,477448,0,0,0,0
2025-05-12 12:29:47,ICMP,63854,882,0,0,0
2025-05-12 12:29:47,UDP,72537,3078,0,0,0
2025-05-12 12:29:47,SYN,477448,0,0,0,0
2025-05-12 12:29:48,ICMP,63854,882,0,0,0
2025-05-12 12:29:48,UDP,72537,3078,0,0,0
2025-05-12 12:29:48,SYN,475061,3700,0,0,0
2025-05-12 12:29:49,ICMP,63539,784,0,0,0
2025-05-12 12:29:49,UDP,72537,3078,0,0,0
2025-05-12 12:29:49,SYN,475061,3774,0,0,0
2025-05-12 12:29:50,ICMP,63539,882,0,0,0
2025-05-12 12:29:50,UDP,72190,3078,0,0,0
2025-05-12 12:29:50,SYN,475061,3774,0,0,0
2025-05-12 12:29:51,ICMP,63539,882,0,0,0
2025-05-12 12:29:51,UDP,72190,3078,0,0,0
2025-05-12 12:29:51,SYN,472704,11100,0,0,0
2025-05-12 12:29:52,ICMP,63539,882,0,0,0
2025-05-12 12:29:52,UDP,72190,3078,0,0,0
